id,ru,en,info
2985,бе́дный,"poor; poorly
 1) He is a poor man: he has no money.
 2) Poor Oleg, he has been ill for so long!","(-ая, -ое, -ые); бе́дно
1) Он бе́дный челове́к: у него́ нет де́нег.
2) Бе́дный Оле́г, он так до́лго боле́ет!"
2986,бе́дствие,disaster — natural disaster,стихи́йное бе́дствие
2987,бежа́ть,to run,"(бегу́, бежи́шь) только нсв I  —
побежа́ть (побегу́, побежи́шь) cв"
2988,бе́жевый,beige,"(-ая, -ое, -ые)"
2989,бе́женец,refugee,"мн.ч. бе́женцы, р.п. мн.ч. бе́женцев; ж.р. бе́женка; р.п. мн.ч. бе́женок"
2990,без,without,(безо) + р.п.
2991,безвку́сный,tasteless; it’s tasteless,"прил. (-ая, -ое, -ые); нар. безвку́сно"
2992,безвы́ходный,desperate — desperate situation,"(-ая, -ое, -ые) — безвы́ходная ситуа́ция"
2993,безгра́мотный,"illiterate; with spelling mistakes, illiterately","(-ая, -ое, -ые); безгра́мотно"
2994,безграни́чный,"boundless, unlimited; infinitely","(-ая, -ое, -ые); безграни́чно"
2995,безда́рный,talentless; without any show of talent,"(-ая, -ое, -ые); безда́рно"
2996,безде́йствовать,to be inactive,"(безде́йствую, безде́йствуешь) только нсв I"
2997,безде́льничать,to idle,только нсв I
2998,безде́тный,childfree,"(-ая, -ое, -ые)"
2999,безду́шный,soulless,"(-ая, -ое, -ые)"
3000,беззабо́тный,careless; carelessly,"(-ая, -ое, -ые); беззабо́тно"
3001,беззащи́тный,defenceless,"(-ая, -ое, -ые)"
2522,безлю́дный,"peopleless, deserted; it’s uninhabited","(-ая, -ое, -ые); безлю́дно"
2523,безнадёжный,"hopeless, pathetical; hopelessly","(-ая, -ое, -ые); безнадёжно"
2524,безнра́вственный,immoral; it’s immoral,"прил. (-ая, -ое, -ые); нар. безнра́вственно"
2525,безобра́зный,ugly; it is ugly,"прил. (-ая, -ое, -ые); нар. безобра́зно"
2526,безопа́сность,safety,ж.р. только ед.ч.
2527,безопа́сный,safe; safely,"(-ая, -ое, -ые); безопа́сно"
2528,безрабо́тица,unemployment,только ед.ч.
2529,безрабо́тный,unemployed,"сущ. (-ая, -ые)"
2530,безусло́вно,certainly,
2531,бейсбо́л,baseball,только ед.ч.
2532,беко́н,bacon,только ед.ч.
2533,беле́ть,"to whiten, to become white",нсв I — побеле́ть св I
2534,бе́лка,squirrel,р.п. мн.ч. бе́лок
2535,бело́к,white — egg white,р.п. ед.ч. белка́ — яи́чный бело́к
2536,бе́лый,white,"(-ая, -ое, -ые)"
2537,бельё,"underwear, linen",только ед.ч.
2538,бензи́н,"benzine, petrol, gas, fuel",только ед.ч.
2539,бе́рег,"bank (of a river), shore",
2540,бережли́вый,economical,"(-ая, -ое, -ые)"
2541,бе́режно,carefully,
2542,берёза,birch,
2543,бере́менная,pregnant,(-ые)
2544,бере́т,beret,
2545,бере́чь,"to keep, to save","(берегу́, бережёшь; прош.вр. берёг, берегла́, берегли́) нсв I — сбере́чь (сберегу́, сбережёшь; прош. вр. сберёг, сберегла́, сберегли́) св I"
2546,бесе́да,conversation,
2547,бесе́дка,"garden house, pavilion",р.п. мн.ч. бесе́док
2548,бесе́довать,to speak about,"(бесе́дую, бесе́дуешь) нсв I — побесе́довать (побесе́дую, побесе́дуешь) св I"
2549,бесконе́чный,endless; endlessly,"(-ая, -ое, -ые); бесконе́чно"
2550,бескоры́стный,unmercenary; unmercenarily,"(-ая, -ое, -ые); бескоры́стно"
2551,беспла́тный,free; free,"прил. (-ая, -ое, -ые); нар. беспла́тно"
2552,беспоко́ить,to bother,нсв II
2553,беспоко́иться,to worry about,нсв II
2554,беспоко́йный,"anxious, restless; anxiously","(-ая, -ое, -ые); беспоко́йно"
2555,бесполе́зный,useless; uselessly,"(-ая, -ое, -ые); бесполе́зно"
2556,беспо́мощный,helpless,"(-ая, -ое, -ые)"
2557,беспоря́док,"disorder, mess
1) mess in the room
2) disorders in the country","р.п. ед.ч. беспоря́дка 
1) только ед.ч. — беспоря́док в ко́мнате
2) только мн.ч. — беспоря́дки в стране"
2558,беспра́вный,rightless,"(-ая, -ое, -ые)"
2559,бессмы́сленный,senseless; senselessly,"(-ая, -ое, -ые); бессмы́сленно"
2560,бессо́вестный,shameless,"(-ая, -ое, -ые)"
2561,бессо́нница,insomnia,только ед.ч.
2082,бессро́чный,termless,"(-ая, -ое, -ые)"
2083,беста́ктный,tactless; tactlessly,"(-ая, -ое, -ые); беста́ктно"
2084,бесцве́тный,colourless,"(-ая, -ое, -ые)"
2085,бесце́нный,priceless,"(-ая, -ое, -ые)"
2086,бесшу́мный,noiseless; noiselessly,"(-ая, -ое, -ые); бесшу́мно"
2087,бето́н,concrete,только ед.ч.
2088,библиоте́ка,library,
2089,библиоте́карь,librarian,
2090,би́блия,Bible,
2091,би́знес,business,только ед.ч.
2092,бизнесме́н,businessman,
2093,биле́т,"ticket
1) train ticket
2) concert ticket
3) exam paper","1) биле́т на по́езд
2) биле́т на конце́рт
3) экзаменацио́нный биле́т"
2094,билья́рд,billiard,
2095,биогра́фия,biography,
2096,био́лог,biologist,
2097,биологи́ческий,biological,"(-ая, -ое, -ие)"
2098,биоло́гия,biology,только ед.ч.
2099,би́ржа,stock exchange,
2100,бить,"to beat (up); to break
1) He was beaten up.
2) Ivan broke the glass.","(бью, бьёшь) нсв I — изби́ть (изобью́, изобьёшь) св I; разби́ть (разобью́, разобьёшь) св I
1) кого? — Его́ изби́ли.
2) что? — Ива́н разби́л стака́н."
2101,благодари́ть,to thank,нсв I — поблагодари́ть cв II
2102,благода́рный,grateful,"(-ая, -ое, -ые)"
2103,благоро́дный,noble; nobly,"(-ая, -ое, -ые); благоро́дно"
2104,благотвори́тельный,charitable,"(-ая, -ое, -ые)"
2105,бланк,form,
2106,бледне́ть,to turn pale,нсв I — побледне́ть св I
2107,бле́дный,pale,"(-ая, -ое, -ые)"
2108,блесте́ть,"to shine, to glance",нсв II
2109,блестя́щий,"brilliant, shiny
1) shiny jewellery
2) brilliant performance","(-ая, -ее, -ие)
1) блестя́щие украше́ния
2) блестя́щее выступле́ние"
2110,бли́зкий,"near, close; near, closely; nearer, closer
1) The chemist’s is nearby.
2) These are our close relatives.
3) Anton is my close friend.","(-ая, -ое, -ие); бли́зко; сравн.ст. бли́же
1) Апте́ка бли́зко.
2) Э́то на́ши бли́зкие ро́дственники.
3) Анто́н — мой бли́зкий друг."
2111,близнецы́,twins; twin,мн.ч.; ед.ч. близне́ц
2112,блины́,pancakes; pancake,мн.ч.; ед.ч. блин
2113,блок,"block
1) political coalition
2) block of cigarettes","1) полити́ческий блок
2) блок сигаре́т"
2114,блокно́т,notepad,
2115,блонди́н,blonde,ж.р. блонди́нка; р.п. мн.ч. блонди́нок
2116,блу́зка,blouse,р.п. мн.ч. блу́зок
2117,блю́до,"dish
1) silver dish
2) tasty dish","1) сере́бряное блю́до
2) вку́сное блю́до"
2118,блю́дце,saucer,р.п. мн.ч. блю́дец
2119,бог,God,
2120,богате́ть,to grow rich,нсв I — разбогате́ть св I
2121,бога́тство,richness,
1642,бога́тый,rich; richly,"(-ая, -ое, -ые); бога́то"
1643,боеви́к,action movie,смотре́ть боеви́к
1644,бой,"battle, combat",
1645,бок,side,
1646,бока́л,wineglass,
1647,бокс,box,только ед.ч.
1648,боксёр,boxer,
1649,бо́лее,more,
1650,боле́знь,illness,ж.р.
1651,боле́льщик,fan,
1652,боле́ть,"to be ill — to fall ill
1) to have flue
2) to be a fan","нсв I — заболе́ть 1 св I
1) чем? — гри́ппом
2) за кого? за что? только нсв — боле́ть за футбо́льную кома́нду"
1653,боле́ть,to ache — Head is aching.,нсв I — заболе́ть 2 (1 и 2 л. не употр.) св I — боли́т голова́
1654,боло́тистый,swampy,"(-ая, -ое, -ые)"
1655,боло́то,"swamp, marsh",
1656,болта́ть,to chat — to chat on the phone,нсв I — поболта́ть св I разг. — болта́ть по телефо́ну
1657,боль,pain,ж.р.
1658,больни́ца,hospital,
1659,больно́й,"ill, sore; painful
1) sore tooth
2) ill society","прил. (-а́я, -о́е, -ы́е); кр. прил. бо́лен (-на́, -но́, -ны́); нар. бо́льно
1) больно́й зуб
2) больно́е о́бщество"
1660,больно́й,"sick man, patient","сущ. (-а́я, -ы́е)"
1661,большинство́,majority,только ед.ч.
1662,большо́й,"big; bigger, more","(-а́я, -о́е, -и́е); сравн. ст. бо́льше"
1663,бо́мба,bomb,
1664,бомби́ть,to bomb,нсв II
1665,бомж,homeless person,
1666,боре́ц,fighter,р.п. ед.ч. борца́; мн.ч. борцы́
1667,борода́,beard,
1668,борода́тый,bearded,"(-ая, -ое, -ые)"
1669,боро́ться,to fight,"(борю́сь, бо́решься) только нсв I"
1670,борщ,borsch (red beet soup),
1671,борьба́,"fight
1) competition in fight
2) fight against inflation","только ед.ч.
1) соревнова́ния по борьбе́
2) борьба́ с инфля́цией"
1672,босоно́жки,"peeps, sandals",мн.ч.; р.п. мн.ч. босоно́жек; ед.ч. босоно́жка
1673,бота́ник,botanist,
1674,бота́ника,botany,только ед.ч.
1675,боти́нки,boots; boot,"мн.ч.; р.п. мн.ч. боти́нок; ед.ч. боти́нок, р.п. ед.ч. боти́нка"
1676,боя́ться,to be afraid,"(бою́сь, бои́шься) только нсв II  + инф."
1677,брак,marriage — to marry,1 вступи́ть в брак
1678,брак,faulty goods,2 только ед.ч. — това́р с бра́ком
1679,брасле́т,bracelet,
1680,брат,brother,"мн.ч. бра́тья, р.п. мн.ч. бра́тьев"
1681,брать,"to take
1) to take child in one’s arms
2) to take brother to the cinema, to take things in the
 journey
3) to buy theater tickets
4) to borrow money
5) to take taxi","(беру́, берёшь) нсв I — взять (возьму́, возьмёшь) св I 
1) взять ребёнка на́ руки
2) брать бра́та в кино́, ве́щи в пое́здку
3) взять биле́ты в теа́тр
4) брать де́ньги в долг
5) взять такси́"
1202,бре́дить,to rave,"(бре́жу, бре́дишь) только нсв II"
1203,брести́,"to lag, to trail","(бреду́, бредёшь, прош.вр. брёл, брела́, брели́) только нсв I"
1204,бриллиа́нт,diamond,
1205,бри́тва,razor,
1206,бри́ться,to shave,"(бре́юсь, бре́ешься) нсв I — побри́ться (побре́юсь, побре́ешься) св I"
1207,бро́ви,eyebrows; eyebrow,мн.ч.; ед. ч. бровь ж.р.
1208,броди́ть,"to wander, to ramble — to wander in the forest","(брожу́, бро́дишь) только нсв II  — броди́ть по ле́су"
1209,брони́ровать,"to book, to reserve — to reserve room in the hotel, to book tickets","(брони́рую, брони́руешь) нсв I — заброни́ровать (заброни́рую, заброни́руешь) св I — заброни́ровать но́мер в гости́нице, биле́ты"
1210,бронхи́т,bronchitis,
1211,броса́ть,"to throw, to leave, to give up
1) to throw ball
2) to give up smoking
3) to leave job, to leave family","нсв I — бро́сить (бро́шу, бро́сишь) св II + инф.
1) броса́ть мяч
2) бро́сить кури́ть
3) бро́сить рабо́ту, семью́"
1212,брошь,brooch,ж.р.; бро́шка; р.п. мн.ч. бро́шек
1213,брю́ки,trousers,только мн.ч.
1214,брюне́т,brunet,ж.р. брюне́тка; р.п. мн.ч. брюне́ток
1215,будди́зм,Buddhism,только ед.ч.
1216,будди́ст,Buddhist,
1217,буди́льник,alarm-clock,
1218,буди́ть,to wake up,"(бужу́, бу́дишь) нсв II — разбуди́ть (разбужу́, разбу́дишь) св II"
1219,бу́дни,weekdays,только мн.ч.; р.п. бу́дней
1220,бу́дто,as if,
1221,бу́дущее,future,"сущ., только ед.ч."
1222,бу́дущий,future,"прил. (-ая, -ее, -ие)"
1223,бу́ква,"letter, character",
1224,буке́т,bunch (of flowers),
1225,бу́лка,white bread,р.п. мн.ч. бу́лок
1226,бу́лочка,baked roll,р.п. мн.ч. бу́лочек
1227,бу́лочная,bakery shop,сущ. (-ые)
1228,бульва́р,boulevard,
1229,бульо́н,broth,
1230,бума́га,"paper
1) paper for writing
2) to sign papers at the director’s office","1) только ед.ч. — бума́га для письма́
2) подписа́ть бума́ги у дире́ктора"
1231,бума́жник,wallet,
1232,бума́жный,"paper, made of paper","(-ая, -ое, -ые)"
1233,буржуа́зный,bourgeois,"(-ая, -ое, -ые)"
1234,бу́ря,storm,
1235,бу́сы,"beads, bead necklace",только мн.ч.
1236,бутербро́д,sandwich,
1237,буты́лка,bottle,р.п. мн.ч. буты́лок
1238,буфе́т,buffet,
1239,буха́нка,loaf,р.п. мн.ч. буха́нок
1240,бы,if — If only I knew...; I would like to...,(б) — Если б я знал...; я хоте́л бы...
1241,быва́ть,"to occur, to happen, to visit
1) Such occasions happen seldom.
2) Boris often visits Petersburg.","нсв I — побыва́ть св I
1) 1 и 2 л. не употр. — Таки́е слу́чаи быва́ют ре́дко.
2) где? — Бори́с ча́сто быва́ет в Петербу́рге."
762,бы́вший,"former, ex","(-ая, -ее, -ие)"
763,бык,bull,
764,бы́стрый,fast; fast,"прил. (-ая, -ое, -ые); нар. бы́стро"
765,быт,everyday life,только ед.ч.
766,бытово́й,household,"(-а́я, -о́е, -ы́е)"
767,быть,"to be
1) We were by our friend at his datcha.
2) Yesterday it was raining.
3) Petya wants to be an engineer.","(бу́ду, бу́дешь) только нсв I
1) где? у кого? — Мы бы́ли на да́че, у дру́га.
2) Вчера́ был дождь.
3) кем? — Пе́тя хо́чет быть инжене́ром."
768,бюдже́т,budget,
769,бюро́,office — tourist office,неизм. — туристи́ческое бюро́
770,бюрокра́т,bureaucrat,
771,в,"to, in, at, on, into
1) to enter the room
2) on Wednesday
3) in January, in the childhood
4) in the museum
5) girl in the jacket","(во)
1) в.п. куда? — войти́ в ко́мнату
2) в.п. когда? — в сре́ду
3) п.п. когда? — в январе́, в де́тстве
4) п.п. где? — быть в музе́е
5) п.п. в чём? — де́вушка в ку́ртке"
4007,в ча́стности,in particular,
4080,в-тре́тьих,thirdly,
772,ваго́н,"coach, carriage",
773,ва́жный,important; it’s important,"прил. (-ая, -ое, -ые); нар. ва́жно"
774,ва́за,vase,
775,вальс,waltz,
776,валю́та,currency,
777,ва́нна,tub,
778,ва́нная,bathroom,cущ.
779,ва́режки,mittens; mitten,"мн.ч.; р.п. мн.ч. ва́режек; ед.ч. ва́режка, р.п. ед.ч. ва́режки"
781,варёный,boiled,"(-ая, -ое, -ые)"
780,варе́нье,jam,
782,вариа́нт,"variant, version",
783,вари́ть,"to cook, to boil",нсв II — свари́ть св II
784,ва́та,cotton wool,только ед.ч.
785,ватру́шка,curd tart,р.п. мн.ч. ватру́шек
786,ва́фли,wafers; wafer,мн.ч.; р.п. мн.ч. ва́фель; ед.ч. ва́фля
787,ваш,your,"(-а, -е, -и)"
788,вбега́ть,to rush in,"нсв I — вбежа́ть (вбегу́, вбежи́шь) св I"
789,вверх,upwards,
790,вверху́,above,
791,вводи́ть,"to lead in, to put in, to enter","(ввожу́, вво́дишь) нсв II — ввести́ (введу́, введёшь; прош.вр. ввёл, ввела́) св I"
792,ввоз,import,только ед.ч.
793,ввози́ть,"to bring in, to import","(ввожу́, вво́зишь) нсв II — ввезти́ (ввезу́, ввезёшь) св I"
794,вгля́дываться,to peer into,"нсв I — вгляде́ться (вгляжу́сь, вгляди́шься) св II"
795,вдали́,"in the distance, a long way from",
796,вдаль,"afar, at a distance",
797,вдво́е,"twice, double",
798,вдвоём,both,
799,вдове́ц,widower,р.п. вдовца́; мн.ч. вдовцы́; вдова́
800,вдоль,along,р.п.
801,вдохнове́ние,inspiration,только ед.ч.
4242,вдруг,suddenly,
4243,вегетариа́нец,vegetarian,р.п. ед.ч. вегетариа́нца; мн.ч. вегетариа́нцы
4244,ведро́,bucket,"мн.ч. вёдра, р.п. мн.ч. вёдер"
4245,веду́щий,presenter — programme presenter,"(-ая, -ие) сущ. — веду́щий програ́ммы"
4246,ведь,"indeed, but",
4247,ве́жливый,polite; politely,"(-ая, -ое, -ые); ве́жливо"
4248,везде́,"everywhere, all around the world",
4249,везти́,"to carry, to drive","1 (везу́, везёшь; прош.вр. вёз, везла́, везли́) только нсв I"
4250,везти́,"to have luck, to be lucky — He is lucky in life. He has luck with his job",2 (везёт) безл. нсв I — повезти́ 2 (повезёт) св I — Ему́ везёт в жи́зни. Ему́ повезло́ с рабо́той
4251,везу́чий,lucky,"(-ая, -ее, -ие)"
4252,век,century,
4253,ве́ко,eyelid,мн.ч. ве́ки
4254,вели́к,"too big, oversized — This costume is too big for me.","(-а́, -о́, -и́) кр.ф. — Э́тот костю́м мне вели́к."
4255,вели́кий,great,"(-ая, -ое, -ие)"
4256,великоле́пный,"perfect, splendid; perfectly","(-ая, -ое, -ые); великоле́пно"
4257,велого́нка,bicycle race,р.п. мн.ч. велого́нок
4258,велосипе́д,bicycle,
4259,велосипеди́ст,bicycler,
4260,ве́ник,"besom, broom",
4261,венча́ться,"to get married, to wed",нсв I — обвенча́ться св I
4262,ве́ра,belief,только ед.ч.
4263,верблю́д,camel,
4264,верёвка,"rope, string",р.п. мн.ч. верёвок
4265,ве́рить,to believe,нсв II — пове́рить св II
4266,вермише́ль,vermicelli,"ж.р., только ед.ч."
4267,ве́рность,faith,"ж.р., только ед.ч."
4268,ве́рный,"correct, true; correctly
1) correct decision
2) true friend","(-ая, -ое, -ые); ве́рно
1) ве́рное реше́ние
2) ве́рный друг"
4269,вероя́тно,"likely, probably",
4270,вероя́тность,probability,"ж.р., только ед.ч."
4271,ве́рсия,version,
4272,вертика́льный,vertical; vertically,"(-ая, -ое, -ые); вертика́льно"
4273,вертолёт,helicopter,
4274,ве́рующий,believer,"(-ая, -ие) сущ."
4275,верх,top,
4276,ве́рхний,upper,"(-яя, -ее, -ие)"
4277,верши́на,"peak, top, head (of the tree)",
4278,вес,weight,только ед.ч.
4279,весели́ться,to have fun,только нсв II
4280,весёлый,"merry, jolly; merrily","(-ая, -ое, -ые); ве́село"
4281,весе́нний,spring,"(-яя, -ее, -ие)"
4202,ве́сить,to weigh — The child weighs 10 kg,"(ве́шу, ве́сишь) только нсв I — Ребёнок ве́сит 10 кг"
4203,весна́,spring; in spring,"мн.ч. вёсны, р.п.мн.ч. вёсен; весно́й"
4204,вести́,"to conduct, to take, to lead, to drive
1) to bring son home from the park
2) to drive a car
3) to manage the house
4) to keep a diary, to hold conversation / classes
5) to behave — A child behaves himself.","(веду́, ведёшь; прош.вр. вёл, вела́, вели́) нсв I
1) кого? куда? откуда? — вести́ сы́на из па́рка домо́й
2) что? — вести́ маши́ну
3) что? — ве́сти дома́шнее хозя́йство
4) что? — ве́сти дневни́к, разгово́р, уро́к
5) вести́ себя́ — Ребёнок ведёт себя́ хорошо́."
4205,весы́,scales,только мн.ч.
4206,весь,all,"вся, всё, все"
4207,ве́тер,wind,р.п. ед.ч. ве́тра
4208,ветера́н,veteran,
4209,ве́тка,"branch, twig",р.п. мн.ч. ве́ток
4210,ветчина́,ham,только ед.ч.
4211,ве́чер,evening; in the evening,ве́чером
4212,вечери́нка,party,р.п. мн.ч. вечери́нок
4213,вече́рний,evening,"прил. (-яя, -ее, -ие)"
4214,ве́чный,"everlasting, eternal; for ever","(-ая, -ое, -ые); ве́чно"
4215,ве́шалка,hanger,р.п. мн.ч. ве́шалок
4216,ве́шать,to hang,"нсв I — пове́сить (пове́шу, пове́сишь) св I"
4217,вещь,thing,ж.р.
4218,взаи́мный,mutual; mutually,"(-ая, -ое, -ые); взаи́мно"
4219,взаимо-,"inter- — interaction, interrelation","взаимоде́йствие, взаимосвя́зь"
4220,взве́шивать,to weigh smth,"нсв I — взве́сить (взве́шу, взве́сишь) св I"
4221,взволно́ванный,excited; excitedly,"(-ая, -ое, -ые); взволно́ванно"
4222,взгляд,"view, look
1) joyful look
2) view of life","1) весёлый взгляд
2) взгляд на жизнь"
4223,взгляну́ть,to look,св I
4224,вздра́гивать,to shiver,нсв I — вздро́гнуть св I
4225,вздыха́ть,to sigh,нсв I — вздохну́ть св I
4226,взлета́ть,to fly up,"нсв I — взлете́ть (взлечу́, взлети́шь) св II"
4227,взро́слый,adult,"(-ая, -ое, -ые) прил."
4228,взро́слый,adult,(-ые) сущ.
4229,взрыва́ть,to blow up,"нсв I — взорва́ть (взорву́, взорвёшь) св I"
4230,взя́тка,bribe,р.п. мн.ч. взя́ток
